,0,1,2,3,4,5,6,7,8,9,label
7,1,0.010487204,0,0.062734609,0.0169158,0.052184628,0.064440759,0.102874083,0.028027404,0.029026675,0
24,1,0,0.036364776,0.077516275,0.013778793,0.062417814,0.066769766,0.047373794,0.081894934,0.059778525,0
25,1,0,0.053192868,0.068225615,0.001647201,0.004437335,0.010978759,0.010292957,0.085283614,0.057357128,0
45,1,0.096166893,0,0.058783769,0.056155745,0.047203957,0.074848403,0.048356914,0.086360235,0.071011765,0
66,1,0.037359049,0.055842133,0,0.093972945,0.105204031,0.013556655,0.066618057,0.095162927,0.076203427,0
70,1,0.080617927,0.116031869,0.148836569,0.135415358,0,0.107461495,0.116853518,0.080671339,0.23096664,0
83,1,0.096999509,0.088499886,0.135765393,0.097755956,0.145483017,0,0.556444124,0.089969823,0.043148928,0
135,1,0,0.053471785,0.011732659,0.083007307,0.1017312,0.026369894,0.03285819,0.035473101,0.068957857,0
138,1,0.056823556,0.075444115,0.037560949,0.066090882,0.055631257,0,0.105427164,0.121758519,0.084121626,0
158,1,0.134770705,0.165206145,0.075382775,0.059549441,0.152721658,0.056604718,0.113195008,0.0895407,0,0
172,1,0,0.023241986,0.054844948,0.027259648,0.016708243,0.025150254,0.003398419,0.025424176,0.066220435,0
211,1,0,0.063676289,0.020860245,0.061547632,0.018636745,0.068894836,0.062480336,0.059682303,0.091299385,0
219,1,0.069025323,0.032097759,0.025985561,0,0.06059742,0.060927584,0.006935887,0.008144085,0.065993276,0
225,1,0.079760157,0.022686834,0.041350938,0.071524068,0.046210603,0.06420553,0,0.089199604,0.021669295,0
254,1,0.0991031,0.041160328,0.066398088,0.079405311,0.049703043,0.071867856,0.008882244,0.068984176,0,0
265,1,0.010413572,0.05469389,0.008145485,0.084937,0.025452957,0.016277861,0,0.052770546,0.091023845,0
272,1,0.016748558,0.006457914,0.052567088,0,0.095835825,0.036060021,0.052592324,0.069910599,0.035944555,0
275,1,0.037711085,0.053209658,0.054232463,0.056768272,0.039068589,0.065031597,0.033837222,0,0.074474984,0
288,1,0.055252957,0.067842089,0.042206212,0.019552155,0.058160953,0,0.063808296,0.025516152,0.052569761,0
291,1,0.002855054,0.034766406,0.041913593,0.023099738,0.012297575,0.038107522,0.036135308,0,0.018741189,0
294,1,0.029537296,0.052070588,0.05925196,0,0.052614355,0.034154709,0.022431714,0.035701537,0.000813391,0
315,1,0.026839872,0.019569386,0,0.060422791,0.067423237,0.05891237,0.010043561,0.107723306,0.020542587,0
319,1,0,0.033175327,0.070694746,0.029900384,0.016804292,0.025866292,0.018505305,0.039324743,0.019639385,0
321,1,0.007530663,0.083463213,0.09393053,0.012742825,0,0.059533219,0.018793075,0.02648724,0.095629587,0
326,1,0.061757199,0.043567303,0.023424378,0.01469386,0.050687713,0.00456162,0.028940007,0.071313234,0,0
343,1,0.089470438,0.061067425,0.00842502,0.036254258,0.020969888,0.026149931,0,0.033770454,0.040580104,0
349,1,0.032025927,0.037374141,0.005036804,0.037678515,0.09534796,0,0.030062825,0.033093996,0.030473451,0
351,1,0.07533808,0.021067632,0.03919747,0.084840959,0.042580299,0.089712627,0.096880044,0.062488608,0,0
353,1,0.075501673,0,0.102674425,0.070090792,0.119687407,0.113799831,0.095482631,0.069856697,0.068613219,0
358,1,0,0.046314363,0.111189139,0.091147077,0.09470509,0.06275098,0.093410281,0.070900774,0.00876726,0
362,1,0,0.051628714,0.065472164,0.05161928,0.050161296,0.033481501,0.108620671,0.04791833,0.041771435,0
368,1,0.034288796,0.006512627,0.044165935,0.020892879,0.071266553,0.016409086,0.065284153,0.05305539,0,0
405,1,0.043365323,0.110043214,0.094571511,0.064334805,0.121333761,0.058038115,0.097739473,0.064152473,0,0
406,1,0,0.072317821,0.128895935,0.019526009,0.050394538,0.05181661,0.112317523,0.043654763,0.09324809,0
408,1,0.072202456,0.037394375,0.046704144,0.06420988,0.02592805,0.046283931,0.001913385,0,0.088069785,0
416,1,0.06633569,0.020179554,0.019909733,0.038131962,0.038372797,0,0.059696489,0.037543848,0.065574579,0
418,1,0.005905253,0.085359453,0.07467559,0.083632816,0.115307366,0,0.061568041,0.035619,0.073782533,0
432,1,0,0.019075937,0.024843952,0.05816992,0.045154293,0.105134057,0.039642553,0.085481569,0.047644927,0
447,1,0.111118303,0.131010247,0.064496076,0.049818639,0.165531287,0.091731802,0.067175866,0.524983636,0,0
