,0,1,2,3,4,5,6,7,8,9,label
5,1,0,0.077981371,0.027542988,0.032250262,0.08549332,0.028808932,0.038263833,0.050187624,0.034777511,0
10,1,0,0.078585447,0.027827225,0.032496936,0.094165208,0.028739566,0.03856353,0.050575862,0.035047034,0
11,1,0,0.077972386,0.027539807,0.032246659,0.085477898,0.028701349,0.038259426,0.050181806,0.034768426,0
13,1,0,0.078092964,0.027569695,0.032296792,0.085642626,0.029481636,0.038308029,0.050255116,0.035791559,0
23,1,0,0.077988947,0.027544286,0.032251758,0.085497042,0.028512205,0.03829692,0.050190397,0.035088064,0
25,1,0,0.078225977,0.027629816,0.03235175,0.086362037,0.030576306,0.038383978,0.050344997,0.035747839,0
27,1,0,0.078005184,0.027551465,0.032260183,0.085617267,0.02854065,0.03827843,0.050219152,0.03525623,0
30,1,0,0.077979798,0.027542503,0.032249682,0.085533968,0.0287499,0.038263158,0.05018668,0.034775882,0
35,1,0,0.077958151,0.027534846,0.032240745,0.085459708,0.028506605,0.038252546,0.050172737,0.034774297,0
47,0.195094501,0,0.09641709,0.034120373,0.041364846,0.165375446,0.036911671,0.048342732,0.082776239,1,0
50,1,0,0.078777954,0.027824423,0.032579769,0.086375885,0.039300742,0.038654783,0.050700361,0.035144197,0
54,1,0,0.078020474,0.027555479,0.032264528,0.085536004,0.028541843,0.038286479,0.050218749,0.035489746,0
62,1,0,0.078041126,0.027564165,0.032275044,0.085555614,0.029564057,0.038293243,0.050229626,0.034839711,0
64,1,0,0.1120792,0.039525151,0.343765845,0.122680482,0.046315512,0.055454606,0.072022238,0.181780093,0
72,1,0,0.07795683,0.027534375,0.032240186,0.085458589,0.028501985,0.038251902,0.050171908,0.034760755,0
79,1,0,0.0779573,0.027534419,0.03224026,0.085459016,0.028511436,0.038251998,0.050172096,0.034758445,0
94,1,0,0.077991112,0.027544735,0.03225232,0.085490715,0.028885464,0.038266267,0.050190805,0.034772138,0
106,1,0,0.077970987,0.027540648,0.032245812,0.085492534,0.02862927,0.038258594,0.050180792,0.034798095,0
112,1,0,0.077972414,0.027558857,0.032246525,0.085482251,0.028522768,0.038259597,0.050182002,0.034927542,0
115,1,0,0.077957872,0.027534747,0.032240621,0.085459644,0.028502897,0.038252441,0.050172564,0.034774059,0
116,1,0,0.077964787,0.027537089,0.032243377,0.085466706,0.028505562,0.038255668,0.050176849,0.034862173,0
138,1,0,0.078140148,0.027591751,0.032333553,0.085708085,0.030278934,0.038334038,0.050611818,0.034838519,0
141,1,0,0.0779804,0.02754271,0.032249957,0.085493244,0.0285122,0.038263742,0.050187626,0.035062331,0
146,1,0,0.077993273,0.027547302,0.032255254,0.085656613,0.028515926,0.038272949,0.050195387,0.035082817,0
159,1,0,0.077992298,0.0275413,0.032247647,0.085529292,0.028508932,0.038301581,0.050191649,0.034881991,0
163,1,0,0.291255263,0.033131581,0.038623939,0.102380072,0.03414552,0.045834726,0.060106528,0.041643608,0
172,1,0,0.078110632,0.02757554,0.032291597,0.085638747,0.029889347,0.038315656,0.050246796,0.034859298,0
181,1,0,0.078199287,0.027619989,0.032340417,0.085733303,0.03169025,0.038370802,0.050327898,0.034868683,0
206,1,0,0.078300265,0.027686179,0.032382083,0.089952322,0.028642814,0.038428805,0.050451327,0.035089788,0
254,1,0,0.078094582,0.027582963,0.032297049,0.08561034,0.030215023,0.038319375,0.050260397,0.034922135,0
259,1,0,0.077959401,0.027534891,0.032240793,0.085459939,0.028502968,0.038252965,0.050172861,0.034779613,0
265,1,0,0.078064955,0.02757258,0.032285194,0.085578754,0.02855,0.038341388,0.050241547,0.036148953,0
